,ID,p7,p12,p5,p15,p9,p2,p17,p18,p20,p6
511,372,4,4,3,4,3,3,4,4,4,3
512,373,1,4,2,4,4,4,4,4,4,4
513,373,3,4,4,4,4,4,3,4,4,4
514,374,3,2,2,2,2,3,2,4,4,2
515,375,4,4,1,2,4,4,2,3,3,4
516,375,4,4,4,4,4,4,4,4,4,3
517,376,3,3,2,4,4,3,3,3,3,2
518,376,3,2,3,4,3,3,3,4,4,2
519,377,3,4,4,4,4,4,4,4,4,4
520,377,2,4,3,4,2,3,2,3,3,3
521,378,4,4,4,4,4,1,2,3,4,4
522,378,3,4,2,4,4,4,4,3,4,4
523,380,3,3,3,4,3,3,4,3,4,3
524,381,3,3,3,4,3,4,4,4,3,3
525,382,3,3,3,3,3,3,3,3,3,3
526,383,3,3,3,3,3,3,3,4,4,3
527,384,4,4,3,4,4,4,4,4,4,3
528,384,4,3,2,4,3,4,4,4,4,2
529,385,3,2,2,3,2,3,2,3,3,2
530,386,3,4,4,4,4,4,4,3,4,4
531,387,4,4,2,4,4,4,2,4,4,4
532,387,3,4,2,4,2,3,2,3,3,4
533,388,3,3,2,4,3,3,2,3,3,2
534,389,4,4,2,4,2,4,4,3,4,4
535,390,4,2,2,3,2,3,3,4,4,3
536,391,3,3,3,4,2,4,2,3,3,3
537,391,4,3,3,4,3,4,4,4,3,3
538,392,2,4,3,3,3,3,3,3,4,3
539,392,3,3,2,3,2,4,3,4,4,3
540,393,3,3,3,3,2,3,2,3,4,2
541,394,4,3,2,4,3,3,2,3,4,2
542,395,4,4,4,4,3,4,4,4,4,2
543,396,3,4,1,4,4,1,3,3,2,1
544,397,1,4,4,4,4,4,4,4,1,2
545,397,3,4,3,4,3,4,4,4,4,3
546,398,4,3,2,4,4,4,2,4,4,3
547,398,4,3,2,4,3,4,4,4,4,3
548,398,4,3,3,4,2,4,3,4,4,3
549,399,3,3,3,4,3,4,3,3,3,4
550,400,2,3,3,3,3,3,3,3,3,3
551,401,4,2,2,4,2,3,2,4,4,4
552,401,4,2,4,4,2,3,2,4,3,4
553,401,3,3,2,4,3,3,3,3,3,3
554,402,4,4,4,4,4,4,4,4,4,4
555,403,2,2,3,4,3,2,3,4,4,3
556,404,4,4,4,4,4,4,4,4,4,3
557,405,3,4,2,4,4,4,4,3,4,2
558,405,4,3,2,4,3,3,4,3,3,2
559,406,3,2,2,3,2,3,3,2,2,2
560,407,3,2,2,4,4,3,4,4,4,2
561,408,4,4,2,4,3,4,3,4,3,3
562,409,3,3,3,4,3,3,4,1,3,2
563,411,3,2,3,3,2,3,3,3,3,3
564,412,3,2,2,3,2,3,3,4,4,2
565,413,2,3,3,3,3,3,2,3,4,3
566,414,3,3,3,4,3,3,3,4,4,3
567,414,4,3,2,4,3,4,3,4,4,2
568,415,4,3,3,4,4,4,3,4,4,3
569,416,2,3,2,4,3,2,3,4,2,2
570,416,3,3,2,4,3,3,2,4,4,3
571,417,3,4,3,4,4,3,4,3,3,4
572,417,1,4,4,4,4,4,4,3,3,4
573,418,3,2,2,4,3,3,3,3,3,3
574,418,3,2,3,4,2,3,2,3,3,3
